Date, TemperatureHigh, TemperatureLow, DewPoint, Humidity, Pressure, PrecipitationIntensity, PrecipitationType, NextDayPrecipitationType
2018-04-17, 47.47, 33.9, 34.89, 0.74, 999.92, 0.0018, rain, none
2018-04-16, 45.22, 39.95, 36.42, 0.94, 1016.53, 0.0755, rain, rain
2018-04-15, 31.27, 30.13, 24.78, 0.77, 1032.45, 0.0004, snow, rain
2018-04-14, 55.05, 30.57, 37.99, 0.73, 1019.27, 0.0001, rain, snow
2018-04-13, 65.89, 45.49, 43.92, 0.69, 1011.21, 0.0001, rain, rain
2018-04-12, 57.62, 43.26, 32.28, 0.68, 1016.57, 0.0045, rain, rain
2018-04-11, 48.52, 29.62, 28.31, 0.72, 1020.97, 0.0003, rain, rain
2018-04-10, 40.45, 28.35, 26.77, 0.71, 1022.3, 0.0008, rain, rain
2018-04-09, 44.28, 30.23, 14, 0.45, 1019.73, 0, none, rain
2018-04-08, 42.66, 26.7, 16.82, 0.49, 1011.73, 0, none, none
2018-04-07, 44.81, 27.58, 26.2, 0.66, 1009.45, 0.0075, rain, none
2018-04-06, 39.28, 33.6, 22.16, 0.7, 1015.24, 0.0053, snow, rain
2018-04-05, 41.06, 21.97, 10.64, 0.38, 1012.16, 0, none, snow
2018-04-04, 50.4, 27.73, 38.54, 0.88, 1002.1, 0.0122, rain, none
2018-04-03, 47.91, 36.87, 29.95, 0.8, 1021.03, 0.01, rain, rain
2018-04-02, 41.53, 27.08, 23.94, 0.67, 1020.39, 0.0022, snow, rain
2018-04-01, 53.92, 31.01, 23.21, 0.41, 1014.45, 0, none, snow
2018-03-31, 55.93, 42.46, 21.46, 0.4, 1019.88, 0, none, none
2018-03-30, 55.36, 37.27, 44.14, 0.88, 1007.91, 0.0016, rain, none
2018-03-29, 54.24, 43.18, 35.88, 0.78, 1017.21, 0.0008, rain, rain
2018-03-28, 57.58, 32.18, 30.04, 0.6, 1017.6, 0.0001, rain, rain
2018-03-27, 47.86, 34.29, 17.95, 0.55, 1033.54, 0, none, rain
